x,y,soilBaseQuality,sunlight,nutrients,pH,organicMatter,compaction,salinity
1,26,0.79,0.7,0.72,0.58,0.12,0.46,0.53
1,27,0.82,0.91,0.34,0.35,0.31,0.83,0.11
1,28,0.3,0.76,0.47,0.61,0.58,0.91,0.55
1,29,0.61,0.81,0.7,0.29,0.58,0.61,0.34
1,30,0.55,1.0,0.49,0.26,0.18,0.64,0.72
1,31,0.43,0.54,0.33,0.22,0.23,0.25,0.55
1,32,0.37,0.77,0.8,0.67,0.55,0.73,0.63
1,33,0.5,0.68,0.49,0.35,0.45,0.64,0.19
1,34,0.87,0.42,0.34,0.66,0.58,0.24,0.3
1,35,0.49,0.41,0.34,0.34,0.54,0.35,0.85
1,36,0.61,0.47,0.45,0.65,0.17,0.35,0.43
1,37,0.72,0.79,0.41,0.65,0.47,0.33,0.37
1,38,0.52,0.74,0.76,0.66,0.08,0.69,0.76
1,39,0.88,0.73,0.49,0.45,0.5,0.9,0.12
1,40,0.88,0.42,0.78,0.63,0.38,0.77,0.5
1,41,0.45,0.68,0.4,0.68,0.58,0.56,0.26
1,42,0.6,0.95,0.6,0.36,0.58,0.5,0.38
1,43,0.48,0.64,0.71,0.41,0.08,0.49,0.25
1,44,0.47,0.77,0.69,0.56,0.14,0.65,0.13
1,45,0.32,0.87,0.66,0.35,0.32,0.47,0.41
1,46,0.67,0.87,0.85,0.58,0.53,0.37,0.69
1,47,0.6,0.71,0.44,0.24,0.5,0.65,0.81
1,48,0.33,0.91,0.6,0.46,0.58,0.49,0.57
1,49,0.47,0.63,0.83,0.26,0.39,0.21,0.39
1,50,0.84,0.93,0.35,0.35,0.19,0.22,0.68
1,51,0.44,0.54,0.33,0.33,0.06,0.41,0.48
1,52,0.39,0.57,0.44,0.62,0.17,0.58,0.38
1,53,0.59,0.43,0.68,0.3,0.42,0.47,0.23
1,54,0.89,0.88,0.46,0.6,0.56,0.22,0.7
1,55,0.45,0.65,0.41,0.6,0.23,0.37,0.48
1,56,0.7,0.54,0.58,0.45,0.53,0.27,0.82
1,57,0.76,0.54,0.67,0.32,0.27,0.91,0.7
1,58,0.44,0.94,0.45,0.31,0.22,0.43,0.42
1,59,0.74,0.9,0.48,0.43,0.33,0.21,0.66
1,60,0.52,0.73,0.67,0.2,0.29,0.7,0.44
1,61,0.68,0.77,0.87,0.47,0.55,0.37,0.16
1,62,0.68,0.68,0.7,0.68,0.31,0.63,0.49
1,63,0.62,0.63,0.77,0.28,0.2,0.31,0.75
1,64,0.35,0.95,0.52,0.49,0.51,0.94,0.74
1,65,0.8,0.48,0.46,0.68,0.6,0.93,0.53
1,66,0.49,0.65,0.57,0.63,0.41,0.69,0.39
1,67,0.41,0.61,0.78,0.63,0.19,0.73,0.11
1,68,0.32,0.7,0.57,0.61,0.18,0.52,0.33
1,69,0.65,0.67,0.81,0.35,0.08,0.92,0.84
1,70,0.71,0.71,0.89,0.65,0.09,0.52,0.64
1,71,0.31,0.48,0.34,0.67,0.55,0.38,0.64
1,72,0.61,0.71,0.33,0.45,0.1,0.29,0.67
1,73,0.44,0.55,0.39,0.38,0.32,0.36,0.57
1,74,0.69,0.51,0.53,0.41,0.43,0.63,0.54
1,75,0.4,0.44,0.38,0.37,0.52,0.38,0.44
1,76,0.71,0.86,0.82,0.31,0.14,0.69,0.43
1,77,0.53,0.66,0.31,0.51,0.29,0.49,0.75
1,78,0.86,0.78,0.49,0.48,0.19,0.87,0.4
1,79,0.38,0.84,0.41,0.43,0.19,0.62,0.73
1,80,0.5,0.81,0.86,0.25,0.22,0.67,0.73
1,81,0.37,0.68,0.7,0.6,0.37,0.62,0.68
1,82,0.85,0.63,0.85,0.29,0.06,0.86,0.13
1,83,0.83,0.63,0.88,0.26,0.27,0.25,0.21
1,84,0.45,0.78,0.6,0.51,0.15,0.25,0.34
1,85,0.7,0.7,0.44,0.4,0.58,0.73,0.74
1,86,0.79,0.91,0.42,0.23,0.37,0.78,0.75
1,87,0.63,0.92,0.43,0.38,0.53,0.53,0.13
1,88,0.62,0.5,0.73,0.59,0.16,0.46,0.34
1,89,0.45,0.48,0.32,0.51,0.5,0.41,0.74
1,90,0.36,0.78,0.33,0.38,0.28,0.38,0.29
1,91,0.84,0.58,0.66,0.3,0.15,0.88,0.83
1,92,0.84,0.41,0.69,0.52,0.47,0.42,0.47
1,93,0.68,0.93,0.7,0.64,0.47,0.69,0.8
1,94,0.5,0.54,0.52,0.52,0.6,0.79,0.42
1,95,0.51,0.96,0.78,0.61,0.48,0.22,0.34
1,96,0.74,0.83,0.62,0.46,0.13,0.23,0.37
1,97,0.84,0.86,0.36,0.56,0.23,0.45,0.76
1,98,0.83,0.52,0.78,0.65,0.3,0.72,0.35
1,99,0.77,0.54,0.87,0.59,0.12,0.4,0.6
2,0,0.69,0.71,0.34,0.65,0.48,0.2,0.45
2,1,0.35,0.5,0.53,0.42,0.34,0.42,0.81
2,2,0.4,0.58,0.59,0.65,0.57,0.27,0.22
2,3,0.84,0.59,0.39,0.51,0.37,0.36,0.42
2,4,0.66,0.5,0.82,0.64,0.34,0.45,0.19
2,5,0.31,0.52,0.47,0.22,0.09,0.3,0.53
2,6,0.36,0.87,0.77,0.53,0.13,0.73,0.4
2,7,0.7,0.5,0.7,0.62,0.52,0.39,0.15
2,8,0.3,0.42,0.66,0.29,0.59,0.7,0.74
2,9,0.4,0.78,0.42,0.53,0.28,0.65,0.38
2,10,0.63,0.99,0.43,0.61,0.5,0.87,0.47
2,11,0.72,0.6,0.33,0.34,0.4,0.27,0.41
2,12,0.69,0.47,0.44,0.4,0.58,0.36,0.47
2,13,0.43,0.74,0.51,0.48,0.18,0.85,0.11
2,14,0.73,0.94,0.8,0.46,0.35,0.82,0.71
2,15,0.44,0.87,0.52,0.22,0.27,0.34,0.35
2,16,0.5,0.77,0.75,0.25,0.35,0.28,0.64
2,17,0.75,0.59,0.56,0.25,0.2,0.84,0.15
2,18,0.69,0.73,0.77,0.33,0.32,0.33,0.49
2,19,0.81,0.45,0.89,0.32,0.39,0.85,0.78
2,20,0.69,0.81,0.44,0.57,0.09,0.92,0.4
2,21,0.64,0.84,0.82,0.49,0.46,0.37,0.25
2,22,0.36,0.98,0.67,0.58,0.44,0.83,0.17
2,23,0.52,0.56,0.79,0.23,0.53,0.52,0.74
2,24,0.46,0.41,0.69,0.44,0.28,0.79,0.28
2,25,0.45,0.73,0.55,0.36,0.08,0.51,0.83
2,26,0.88,0.82,0.44,0.62,0.3,0.25,0.29
2,27,0.54,0.87,0.34,0.55,0.13,0.73,0.46
2,28,0.84,0.52,0.62,0.63,0.41,0.31,0.44
2,29,0.68,0.56,0.89,0.22,0.08,0.9,0.15
2,30,0.78,0.71,0.74,0.56,0.26,0.51,0.5
2,31,0.6,0.6,0.5,0.47,0.1,0.26,0.6
2,32,0.65,0.92,0.8,0.61,0.05,0.37,0.66
2,33,0.6,0.68,0.76,0.45,0.58,0.85,0.49
2,34,0.42,0.88,0.47,0.47,0.6,0.44,0.71
2,35,0.73,0.75,0.31,0.23,0.36,0.84,0.66
2,36,0.47,0.86,0.37,0.53,0.18,0.33,0.25
2,37,0.31,0.6,0.83,0.34,0.55,0.55,0.4
2,38,0.69,0.9,0.8,0.21,0.56,0.86,0.21
2,39,0.41,0.56,0.48,0.23,0.52,0.24,0.2
2,40,0.86,0.73,0.47,0.68,0.35,0.43,0.63
2,41,0.87,0.53,0.78,0.37,0.09,0.88,0.5
2,42,0.85,0.69,0.86,0.63,0.1,0.65,0.55
2,43,0.52,0.59,0.77,0.68,0.54,0.74,0.65
2,44,0.31,0.56,0.66,0.67,0.53,0.83,0.31
2,45,0.86,0.98,0.45,0.64,0.29,0.59,0.4
2,46,0.56,0.5,0.62,0.65,0.23,0.83,0.56
2,47,0.88,0.87,0.44,0.34,0.4,0.68,0.17
2,48,0.88,0.99,0.78,0.28,0.49,0.71,0.72
2,49,0.81,0.41,0.53,0.52,0.45,0.31,0.36
2,50,0.48,0.82,0.8,0.44,0.39,0.9,0.59
2,51,0.53,0.55,0.53,0.25,0.18,0.8,0.85
2,52,0.81,0.42,0.79,0.54,0.19,0.39,0.46
2,53,0.49,0.64,0.5,0.48,0.45,0.63,0.26
2,54,0.4,0.96,0.56,0.63,0.49,0.48,0.26
2,55,0.63,0.41,0.67,0.5,0.11,0.7,0.15
2,56,0.86,0.75,0.34,0.49,0.15,0.95,0.68
2,57,0.72,0.7,0.87,0.42,0.42,0.23,0.32
2,58,0.64,0.92,0.64,0.43,0.26,0.91,0.23
2,59,0.36,0.45,0.6,0.68,0.36,0.25,0.64
2,60,0.67,0.81,0.8,0.27,0.39,0.55,0.33
2,61,0.89,0.81,0.82,0.42,0.48,0.56,0.55
2,62,0.38,0.8,0.61,0.53,0.49,0.4,0.41
2,63,0.61,0.97,0.86,0.42,0.2,0.63,0.35
2,64,0.83,0.89,0.34,0.34,0.35,0.83,0.47
2,65,0.74,0.43,0.37,0.34,0.12,0.42,0.34
2,66,0.72,0.68,0.66,0.32,0.51,0.25,0.75
2,67,0.72,0.64,0.51,0.37,0.51,0.67,0.15
2,68,0.52,0.59,0.58,0.64,0.21,0.76,0.12
2,69,0.48,0.67,0.5,0.45,0.14,0.92,0.4
2,70,0.79,0.63,0.54,0.32,0.09,0.32,0.23
2,71,0.79,0.66,0.79,0.39,0.37,0.88,0.66
2,72,0.82,0.99,0.66,0.25,0.1,0.56,0.37
2,73,0.85,0.45,0.9,0.65,0.42,0.38,0.3
2,74,0.61,0.95,0.77,0.4,0.42,0.92,0.37
2,75,0.6,0.69,0.46,0.69,0.39,0.38,0.26
2,76,0.78,0.77,0.46,0.37,0.53,0.75,0.32
2,77,0.69,0.9,0.5,0.62,0.26,0.79,0.53
2,78,0.72,0.62,0.81,0.33,0.55,0.52,0.75
2,79,0.78,0.66,0.32,0.24,0.07,0.72,0.38
2,80,0.83,0.65,0.44,0.22,0.11,0.63,0.34
2,81,0.5,0.62,0.84,0.5,0.28,0.34,0.69
2,82,0.53,0.96,0.68,0.36,0.38,0.77,0.12
2,83,0.36,0.9,0.44,0.42,0.07,0.9,0.33
2,84,0.65,0.47,0.43,0.61,0.36,0.57,0.44
2,85,0.32,0.46,0.82,0.32,0.22,0.95,0.55
2,86,0.58,0.66,0.84,0.35,0.54,0.52,0.22
2,87,0.63,0.46,0.45,0.62,0.34,0.56,0.42
2,88,0.47,0.77,0.55,0.45,0.37,0.71,0.52
2,89,0.65,0.49,0.8,0.61,0.57,0.34,0.48
2,90,0.32,0.71,0.76,0.39,0.47,0.88,0.53
2,91,0.32,0.4,0.79,0.4,0.29,0.8,0.6
2,92,0.79,0.59,0.61,0.28,0.31,0.85,0.38
2,93,0.52,0.81,0.85,0.66,0.41,0.66,0.15
2,94,0.38,0.69,0.5,0.65,0.16,0.86,0.14
2,95,0.61,0.99,0.39,0.69,0.1,0.71,0.74
2,96,0.76,0.92,0.73,0.4,0.22,0.58,0.61
2,97,0.43,0.62,0.62,0.61,0.48,0.9,0.67
2,98,0.67,0.43,0.81,0.41,0.19,0.53,0.8
2,99,0.35,0.91,0.35,0.43,0.12,0.58,0.66
3,0,0.33,0.95,0.81,0.61,0.17,0.33,0.62
3,1,0.62,0.89,0.48,0.29,0.42,0.91,0.59
3,2,0.62,0.48,0.69,0.31,0.39,0.37,0.29
3,3,0.68,1.0,0.32,0.36,0.43,0.35,0.82
3,4,0.74,0.56,0.67,0.59,0.23,0.28,0.51
3,5,0.89,0.83,0.73,0.39,0.55,0.54,0.27
3,6,0.61,0.94,0.52,0.38,0.3,0.41,0.26
3,7,0.49,0.54,0.43,0.7,0.33,0.76,0.71
3,8,0.78,0.94,0.62,0.39,0.57,0.43,0.29
3,9,0.46,0.59,0.8,0.32,0.59,0.74,0.13
3,10,0.56,0.99,0.49,0.51,0.41,0.35,0.42
3,11,0.35,0.57,0.45,0.6,0.57,0.37,0.71
3,12,0.32,0.97,0.47,0.23,0.35,0.8,0.41
3,13,0.88,0.43,0.87,0.51,0.22,0.48,0.7
3,14,0.8,0.83,0.52,0.22,0.22,0.28,0.72
3,15,0.72,0.72,0.3,0.46,0.36,0.92,0.74
3,16,0.55,0.69,0.77,0.33,0.38,0.33,0.54
3,17,0.4,0.53,0.72,0.35,0.29,0.31,0.62
3,18,0.39,0.82,0.38,0.43,0.54,0.47,0.3
3,19,0.45,0.51,0.89,0.66,0.28,0.27,0.17
3,20,0.63,0.73,0.66,0.56,0.2,0.32,0.5
3,21,0.73,0.55,0.6,0.67,0.05,0.83,0.11
3,22,0.7,0.97,0.53,0.53,0.58,0.33,0.45
3,23,0.47,0.42,0.84,0.2,0.5,0.28,0.18
3,24,0.87,0.52,0.45,0.33,0.39,0.86,0.18
3,25,0.74,0.55,0.47,0.65,0.51,0.53,0.75
3,26,0.63,0.65,0.37,0.52,0.5,0.32,0.58
3,27,0.67,0.54,0.76,0.69,0.56,0.64,0.58
3,28,0.55,0.69,0.66,0.28,0.26,0.23,0.4
3,29,0.45,0.92,0.67,0.35,0.36,0.52,0.41
3,30,0.51,0.83,0.43,0.38,0.1,0.64,0.33
3,31,0.75,0.75,0.69,0.36,0.58,0.92,0.43
3,32,0.31,0.45,0.76,0.33,0.59,0.44,0.54
3,33,0.37,0.82,0.51,0.42,0.48,0.77,0.24
3,34,0.33,0.5,0.78,0.52,0.3,0.3,0.3
3,35,0.32,0.87,0.51,0.36,0.32,0.53,0.47
3,36,0.81,0.55,0.75,0.24,0.29,0.37,0.39
3,37,0.72,0.65,0.32,0.55,0.21,0.57,0.71
3,38,0.58,0.61,0.63,0.43,0.34,0.51,0.72
3,39,0.36,0.92,0.88,0.48,0.08,0.93,0.35
3,40,0.59,0.48,0.89,0.43,0.6,0.89,0.44
3,41,0.58,0.74,0.47,0.65,0.28,0.64,0.83
3,42,0.4,0.49,0.56,0.48,0.56,0.33,0.72
3,43,0.56,0.82,0.34,0.66,0.45,0.62,0.26
3,44,0.54,0.94,0.82,0.46,0.21,0.79,0.31
3,45,0.67,0.66,0.64,0.35,0.17,0.23,0.16
3,46,0.68,0.69,0.53,0.38,0.6,0.53,0.61
3,47,0.33,0.96,0.37,0.46,0.47,0.23,0.34
3,48,0.52,0.71,0.87,0.46,0.19,0.38,0.5
3,49,0.68,0.69,0.62,0.54,0.09,0.27,0.68
3,50,0.6,0.75,0.47,0.31,0.43,0.92,0.73
3,51,0.81,0.81,0.51,0.53,0.22,0.33,0.34
3,52,0.7,0.46,0.46,0.59,0.17,0.31,0.28
3,53,0.4,0.89,0.66,0.54,0.45,0.93,0.74
3,54,0.34,0.66,0.86,0.44,0.42,0.59,0.39
3,55,0.69,0.44,0.81,0.7,0.31,0.77,0.72
3,56,0.32,0.87,0.58,0.4,0.57,0.45,0.21
3,57,0.65,0.63,0.8,0.25,0.42,0.6,0.78
3,58,0.86,0.46,0.55,0.61,0.54,0.21,0.46
3,59,0.65,0.78,0.45,0.31,0.15,0.51,0.23
3,60,0.53,0.93,0.89,0.56,0.21,0.62,0.5
3,61,0.69,0.93,0.48,0.29,0.11,0.59,0.75
3,62,0.57,0.97,0.49,0.21,0.22,0.5,0.39
3,63,0.63,0.92,0.89,0.28,0.58,0.79,0.23
3,64,0.86,0.4,0.38,0.39,0.58,0.58,0.53
3,65,0.53,0.63,0.76,0.25,0.47,0.68,0.73
3,66,0.88,0.89,0.86,0.3,0.34,0.34,0.19
3,67,0.84,0.62,0.61,0.58,0.48,0.85,0.13
3,68,0.42,0.76,0.3,0.58,0.35,0.47,0.14
3,69,0.34,0.76,0.53,0.61,0.05,0.56,0.27
3,70,0.36,0.62,0.37,0.62,0.33,0.46,0.11
3,71,0.31,0.94,0.55,0.41,0.38,0.87,0.42
3,72,0.36,0.7,0.77,0.63,0.2,0.88,0.62
3,73,0.71,0.68,0.56,0.46,0.16,0.37,0.63
3,74,0.34,1.0,0.56,0.44,0.2,0.76,0.58
3,75,0.49,0.7,0.63,0.56,0.39,0.28,0.32
3,76,0.81,0.51,0.65,0.31,0.13,0.22,0.65
3,77,0.31,0.71,0.81,0.59,0.45,0.83,0.53
3,78,0.79,0.89,0.49,0.41,0.28,0.3,0.75
3,79,0.47,0.87,0.79,0.26,0.24,0.32,0.46
3,80,0.37,0.87,0.64,0.26,0.49,0.65,0.24
3,81,0.72,0.82,0.48,0.28,0.33,0.81,0.58
3,82,0.68,0.55,0.48,0.65,0.26,0.34,0.21
3,83,0.83,0.92,0.52,0.7,0.53,0.29,0.82
3,84,0.74,0.94,0.67,0.38,0.25,0.26,0.63
3,85,0.78,0.52,0.44,0.35,0.52,0.22,0.67
3,86,0.47,0.48,0.85,0.31,0.33,0.29,0.61
3,87,0.41,0.99,0.64,0.61,0.16,0.91,0.17
3,88,0.75,0.92,0.85,0.3,0.39,0.27,0.45
3,89,0.78,0.94,0.33,0.66,0.21,0.65,0.59
3,90,0.89,0.93,0.51,0.53,0.13,0.89,0.27
3,91,0.55,0.73,0.31,0.65,0.1,0.67,0.61
3,92,0.52,0.79,0.46,0.48,0.18,0.22,0.71
3,93,0.77,0.73,0.82,0.55,0.46,0.65,0.31
3,94,0.5,0.43,0.32,0.51,0.51,0.88,0.25
3,95,0.86,0.85,0.56,0.62,0.52,0.44,0.76
3,96,0.82,0.7,0.37,0.62,0.2,0.44,0.1
3,97,0.56,0.79,0.55,0.49,0.41,0.39,0.29
3,98,0.75,0.7,0.8,0.52,0.18,0.58,0.41
3,99,0.75,0.7,0.67,0.66,0.39,0.38,0.6
4,0,0.36,0.5,0.74,0.66,0.54,0.74,0.85
4,1,0.84,0.57,0.51,0.53,0.07,0.68,0.38
4,2,0.6,0.5,0.87,0.2,0.59,0.5,0.81
4,3,0.8,0.52,0.73,0.25,0.5,0.74,0.38
4,4,0.49,0.98,0.55,0.63,0.47,0.27,0.62
4,5,0.84,0.49,0.56,0.24,0.43,0.76,0.22
4,6,0.53,0.56,0.85,0.31,0.47,0.65,0.45
4,7,0.31,0.75,0.65,0.32,0.6,0.67,0.75
4,8,0.84,0.77,0.72,0.5,0.47,0.25,0.34
4,9,0.35,0.49,0.55,0.49,0.24,0.66,0.18
4,10,0.49,0.88,0.43,0.34,0.39,0.57,0.49
4,11,0.87,0.87,0.73,0.3,0.24,0.56,0.43
4,12,0.87,0.54,0.66,0.58,0.58,0.44,0.27
4,13,0.64,0.57,0.6,0.67,0.55,0.21,0.78
4,14,0.68,0.96,0.67,0.23,0.36,0.52,0.55
4,15,0.57,0.9,0.42,0.27,0.48,0.5,0.36
4,16,0.48,0.82,0.78,0.52,0.55,0.52,0.85
4,17,0.5,0.45,0.87,0.6,0.18,0.66,0.2
4,18,0.7,0.65,0.83,0.6,0.37,0.42,0.74
4,19,0.75,0.74,0.49,0.56,0.31,0.4,0.27
4,20,0.77,0.51,0.54,0.64,0.47,0.57,0.28
4,21,0.77,0.67,0.79,0.31,0.26,0.64,0.47
4,22,0.35,0.76,0.66,0.25,0.44,0.63,0.6
4,23,0.6,0.6,0.63,0.51,0.27,0.86,0.62
4,24,0.33,0.87,0.86,0.61,0.11,0.78,0.12
4,25,0.63,0.9,0.62,0.49,0.11,0.24,0.32
4,26,0.56,0.59,0.61,0.68,0.12,0.62,0.6
4,27,0.83,0.9,0.33,0.6,0.07,0.51,0.77
4,28,0.51,0.46,0.34,0.55,0.34,0.47,0.6
4,29,0.37,0.9,0.3,0.23,0.42,0.92,0.3
4,30,0.39,0.49,0.85,0.25,0.12,0.54,0.48
4,31,0.76,0.45,0.55,0.59,0.39,0.74,0.59
4,32,0.67,0.79,0.58,0.3,0.38,0.93,0.2
4,33,0.36,0.68,0.81,0.21,0.13,0.31,0.51
4,34,0.35,0.94,0.67,0.66,0.27,0.24,0.45
