LandIndex,TileX,TileY,CropName,Growth,TimeToMature,SoilQuality
96,0,95,Wheat,0.9,67.6,0.41
97,0,96,Barley,0.99,71.6,0.73
98,0,97,Rice,0.51,77.8,0.54
99,0,98,Barley,0.9,82.8,0.79
100,0,99,Corn,0.74,61.8,0.33
101,1,0,Soy,0.56,74.8,0.8
102,1,1,Soy,0.88,62.1,0.48
103,1,2,Rice,0.53,87.0,0.76
104,1,3,Rice,0.93,79.2,0.4
105,1,4,Rice,0.82,74.4,0.33
106,1,5,Barley,0.59,61.3,0.69
107,1,6,Barley,0.84,75.8,0.57
108,1,7,Barley,0.58,78.9,0.81
109,1,8,Wheat,0.78,72.6,0.85
110,1,9,Barley,0.5,68.7,0.54
111,1,10,Soy,0.97,88.7,0.67
112,1,11,Soy,0.53,66.2,0.47
113,1,12,Wheat,0.87,89.1,0.46
114,1,13,Barley,0.85,60.4,0.82
115,1,14,Barley,0.83,75.6,0.39
116,1,15,Corn,0.52,70.5,0.57
117,1,16,Corn,0.83,68.3,0.57
118,1,17,Soy,0.81,70.6,0.65
119,1,18,Rice,0.82,78.5,0.68
120,1,19,Soy,0.77,72.3,0.56
121,1,20,Wheat,0.67,65.4,0.57
122,1,21,Barley,0.62,78.8,0.67
123,1,22,Corn,0.73,88.5,0.72
124,1,23,Soy,0.69,89.4,0.78
125,1,24,Wheat,0.84,84.6,0.71
126,1,25,Rice,0.64,65.4,0.3
127,1,26,Soy,0.9,66.0,0.44
128,1,27,Barley,0.99,60.3,0.38
129,1,28,Barley,0.85,84.0,0.79
130,1,29,Corn,0.76,65.1,0.59
131,1,30,Wheat,0.59,88.6,0.53
132,1,31,Rice,0.99,73.5,0.75
133,1,32,Rice,0.64,61.4,0.35
134,1,33,Wheat,0.78,79.3,0.72
135,1,34,Corn,0.72,63.3,0.61
136,1,35,Barley,0.6,79.7,0.55
137,1,36,Rice,0.89,80.5,0.7
138,1,37,Wheat,0.56,61.5,0.31
139,1,38,Corn,0.71,86.3,0.36
140,1,39,Barley,0.61,71.6,0.54
141,1,40,Wheat,0.77,69.7,0.36
142,1,41,Corn,0.93,79.7,0.59
143,1,42,Soy,0.95,88.1,0.66
144,1,43,Wheat,0.77,89.1,0.69
145,1,44,Rice,0.62,84.9,0.44
146,1,45,Wheat,0.69,83.1,0.76
147,1,46,Barley,0.84,76.3,0.35
148,1,47,Wheat,0.64,76.2,0.86
149,1,48,Barley,0.58,78.3,0.38
150,1,49,Corn,0.64,89.5,0.56
151,1,50,Soy,0.56,61.0,0.32
152,1,51,Barley,0.64,74.1,0.59
153,1,52,Corn,0.52,66.3,0.86
154,1,53,Corn,0.53,78.2,0.43
155,1,54,Soy,0.93,77.5,0.84
156,1,55,Rice,0.59,88.1,0.6
157,1,56,Rice,0.92,70.4,0.36
158,1,57,Wheat,1.0,83.3,0.76
159,1,58,Rice,0.7,81.7,0.56
160,1,59,Wheat,0.72,73.2,0.59
161,1,60,Barley,0.64,75.8,0.67
162,1,61,Barley,0.56,73.8,0.8
163,1,62,Wheat,0.82,88.1,0.55
164,1,63,Soy,0.92,63.4,0.75
165,1,64,Soy,0.83,77.8,0.4
166,1,65,Rice,0.55,71.5,0.33
167,1,66,Barley,0.8,62.9,0.33
168,1,67,Barley,0.82,67.3,0.33
169,1,68,Soy,0.84,78.4,0.62
170,1,69,Corn,0.53,82.5,0.53
171,1,70,Soy,0.85,75.3,0.77
172,1,71,Soy,0.8,75.2,0.3
173,1,72,Corn,0.93,79.3,0.7
174,1,73,Rice,0.58,64.5,0.52
175,1,74,Wheat,0.53,65.4,0.58
176,1,75,Rice,0.91,88.8,0.38
177,1,76,Corn,0.55,88.9,0.76
178,1,77,Corn,0.69,83.3,0.82
179,1,78,Rice,0.93,83.7,0.32
180,1,79,Wheat,0.64,62.8,0.5
181,1,80,Rice,0.72,71.1,0.55
182,1,81,Barley,0.81,73.6,0.81
183,1,82,Barley,0.82,64.3,0.78
184,1,83,Barley,0.8,60.7,0.63
185,1,84,Wheat,0.53,66.6,0.41
186,1,85,Wheat,0.89,89.0,0.63
187,1,86,Corn,0.9,87.8,0.56
188,1,87,Soy,0.55,67.0,0.84
189,1,88,Wheat,0.87,88.2,0.46
190,1,89,Soy,0.75,70.2,0.78
191,1,90,Barley,0.51,82.7,0.64
192,1,91,Barley,0.85,71.3,0.32
193,1,92,Soy,0.73,61.4,0.45
194,1,93,Rice,0.56,89.0,0.38
195,1,94,Corn,0.59,68.1,0.58
196,1,95,Corn,0.88,61.6,0.78
197,1,96,Rice,0.97,89.8,0.65
198,1,97,Soy,0.58,79.2,0.5
199,1,98,Soy,0.7,73.4,0.74
200,1,99,Wheat,0.66,84.7,0.67
201,2,0,Barley,0.79,81.6,0.34
202,2,1,Barley,0.6,72.8,0.36
203,2,2,Soy,0.79,64.4,0.36
204,2,3,Wheat,0.92,79.9,0.49
205,2,4,Wheat,0.82,86.6,0.65
206,2,5,Corn,0.6,75.5,0.86
207,2,6,Corn,0.87,76.8,0.7
208,2,7,Soy,0.73,85.4,0.73
209,2,8,Corn,0.56,88.4,0.36
210,2,9,Wheat,0.66,76.3,0.36
211,2,10,Rice,0.62,61.4,0.38
212,2,11,Barley,0.92,64.6,0.65
213,2,12,Soy,0.61,88.5,0.75
214,2,13,Corn,0.76,85.0,0.77
215,2,14,Corn,0.83,79.0,0.43
216,2,15,Wheat,0.53,74.1,0.73
217,2,16,Corn,0.57,72.3,0.49
218,2,17,Barley,0.89,61.3,0.63
219,2,18,Soy,0.67,86.1,0.61
220,2,19,Corn,0.85,71.2,0.34
221,2,20,Rice,0.88,75.6,0.8
222,2,21,Rice,0.82,76.1,0.74
223,2,22,Soy,0.79,85.2,0.71
224,2,23,Rice,0.75,65.9,0.5
225,2,24,Rice,0.7,74.3,0.9
226,2,25,Corn,0.57,88.7,0.34
227,2,26,Rice,0.99,81.3,0.48
228,2,27,Corn,0.82,72.0,0.38
229,2,28,Barley,0.6,79.0,0.44
230,2,29,Wheat,0.92,77.6,0.57
231,2,30,Corn,0.91,76.4,0.67
232,2,31,Wheat,0.88,76.0,0.36
233,2,32,Corn,0.56,81.5,0.65
234,2,33,Corn,0.51,86.5,0.77
235,2,34,Soy,0.85,72.3,0.85
236,2,35,Corn,0.6,89.3,0.43
237,2,36,Rice,0.92,72.1,0.84
238,2,37,Rice,0.84,80.3,0.82
239,2,38,Corn,0.69,68.1,0.47
240,2,39,Barley,0.74,82.4,0.71
241,2,40,Rice,0.75,71.6,0.72
242,2,41,Wheat,0.69,71.5,0.87
243,2,42,Barley,0.59,66.0,0.44
244,2,43,Wheat,1.0,62.1,0.36
245,2,44,Corn,0.87,70.5,0.64
246,2,45,Corn,0.58,78.0,0.45
247,2,46,Corn,0.52,61.4,0.44
248,2,47,Rice,0.67,65.7,0.85
249,2,48,Barley,0.78,67.4,0.73
250,2,49,Wheat,0.97,65.6,0.7
251,2,50,Soy,0.57,63.1,0.87
252,2,51,Barley,0.72,65.5,0.34
253,2,52,Wheat,0.59,88.1,0.65
254,2,53,Soy,0.53,83.5,0.59
255,2,54,Barley,0.8,87.6,0.48
256,2,55,Barley,0.55,86.7,0.65
257,2,56,Corn,0.86,72.0,0.78
258,2,57,Barley,0.78,71.1,0.64
259,2,58,Wheat,0.62,83.3,0.4
260,2,59,Corn,0.9,87.0,0.64
261,2,60,Barley,0.85,82.5,0.42
262,2,61,Corn,0.81,77.4,0.39
263,2,62,Soy,0.61,76.7,0.63
264,2,63,Wheat,0.85,73.9,0.36
265,2,64,Soy,0.77,73.6,0.53
266,2,65,Wheat,0.77,61.7,0.69
267,2,66,Rice,0.56,66.5,0.65
268,2,67,Soy,0.57,64.3,0.59
269,2,68,Rice,0.52,74.1,0.45
270,2,69,Corn,0.62,68.7,0.48
271,2,70,Soy,0.75,71.3,0.43
272,2,71,Barley,0.68,89.1,0.62
273,2,72,Wheat,0.86,82.9,0.83
274,2,73,Barley,0.7,64.2,0.81
275,2,74,Barley,0.55,84.3,0.78
276,2,75,Corn,0.86,73.3,0.47
277,2,76,Corn,0.59,85.6,0.58
278,2,77,Barley,0.66,82.8,0.53
279,2,78,Barley,0.75,75.6,0.62
280,2,79,Barley,0.78,81.6,0.57
281,2,80,Wheat,0.65,88.1,0.57
282,2,81,Corn,0.73,76.2,0.34
283,2,82,Soy,0.53,64.5,0.42
284,2,83,Corn,0.58,77.0,0.53
285,2,84,Barley,0.8,61.4,0.44
286,2,85,Soy,0.5,73.6,0.83
287,2,86,Soy,0.59,66.7,0.84
288,2,87,Soy,0.81,79.4,0.71
289,2,88,Corn,0.62,72.0,0.87
290,2,89,Barley,0.91,75.4,0.37
291,2,90,Barley,0.7,86.8,0.51
292,2,91,Rice,0.86,73.8,0.89
293,2,92,Wheat,0.94,89.9,0.69
294,2,93,Corn,0.72,64.1,0.87
295,2,94,Rice,0.84,85.7,0.43
296,2,95,Rice,0.92,70.9,0.57
297,2,96,Rice,0.62,83.9,0.45
298,2,97,Corn,0.94,75.0,0.84
299,2,98,Wheat,0.93,75.7,0.68
300,2,99,Soy,0.53,76.0,0.71
301,3,0,Wheat,0.74,67.2,0.66
302,3,1,Wheat,0.56,61.6,0.78
303,3,2,Barley,0.94,79.6,0.61
304,3,3,Rice,0.62,60.8,0.82
305,3,4,Rice,0.69,81.8,0.32
306,3,5,Soy,0.97,69.7,0.78
307,3,6,Barley,0.78,71.9,0.31
308,3,7,Soy,0.96,82.6,0.5
309,3,8,Corn,0.73,64.5,0.57
310,3,9,Barley,0.99,79.5,0.63
311,3,10,Rice,0.98,77.2,0.84
312,3,11,Soy,0.51,72.5,0.84
313,3,12,Barley,0.7,78.8,0.79
314,3,13,Barley,0.97,70.8,0.89
315,3,14,Wheat,0.91,67.9,0.48
316,3,15,Barley,0.61,62.7,0.74
317,3,16,Barley,0.94,77.7,0.34
318,3,17,Rice,0.6,88.8,0.49
319,3,18,Corn,0.97,84.2,0.49
320,3,19,Soy,0.54,62.8,0.46
321,3,20,Corn,0.97,66.6,0.89
322,3,21,Barley,0.54,79.5,0.87
323,3,22,Rice,0.61,60.1,0.54
324,3,23,Rice,0.78,76.9,0.52
325,3,24,Rice,0.59,89.2,0.59
326,3,25,Rice,0.69,70.6,0.56
327,3,26,Wheat,0.58,86.8,0.48
328,3,27,Barley,0.78,63.2,0.46
329,3,28,Wheat,0.81,61.4,0.86
330,3,29,Wheat,0.61,70.4,0.42
331,3,30,Barley,0.65,77.4,0.54
332,3,31,Rice,0.87,85.0,0.71
333,3,32,Soy,0.54,65.6,0.88
334,3,33,Rice,0.73,67.8,0.73
335,3,34,Rice,0.65,74.4,0.63
336,3,35,Wheat,0.71,70.4,0.58
337,3,36,Corn,0.92,60.1,0.69
338,3,37,Rice,0.99,69.9,0.71
339,3,38,Barley,0.59,67.8,0.9
340,3,39,Barley,0.53,75.2,0.51
341,3,40,Barley,0.6,63.5,0.43
342,3,41,Wheat,0.94,80.6,0.56
343,3,42,Soy,0.94,68.8,0.45
344,3,43,Soy,0.64,66.9,0.33
345,3,44,Soy,0.66,69.1,0.88
346,3,45,Rice,0.83,73.8,0.34
347,3,46,Rice,0.67,86.6,0.59
348,3,47,Corn,0.95,80.6,0.59
349,3,48,Corn,0.9,65.3,0.41
350,3,49,Corn,0.68,80.2,0.65
351,3,50,Wheat,0.99,64.6,0.79
352,3,51,Soy,0.87,69.6,0.83
353,3,52,Rice,0.88,73.9,0.52
354,3,53,Corn,0.98,79.1,0.42
355,3,54,Wheat,0.72,74.1,0.6
356,3,55,Corn,0.52,77.5,0.37
357,3,56,Rice,1.0,80.5,0.81
358,3,57,Corn,0.97,88.9,0.58
359,3,58,Wheat,0.98,87.2,0.83
360,3,59,Wheat,0.74,75.2,0.32
361,3,60,Corn,0.58,82.3,0.81
362,3,61,Rice,0.6,73.2,0.46
363,3,62,Wheat,0.74,89.0,0.87
364,3,63,Soy,0.84,62.3,0.35
365,3,64,Wheat,0.73,66.2,0.8
366,3,65,Barley,0.7,67.8,0.62
367,3,66,Corn,0.98,68.5,0.42
368,3,67,Soy,0.82,68.2,0.56
369,3,68,Rice,0.7,78.1,0.48
370,3,69,Soy,0.84,86.8,0.44
371,3,70,Wheat,0.9,62.0,0.67
372,3,71,Wheat,0.68,85.0,0.71
373,3,72,Barley,0.74,69.0,0.36
374,3,73,Soy,0.82,77.7,0.74
375,3,74,Wheat,0.82,79.8,0.59
376,3,75,Rice,0.59,76.9,0.62
377,3,76,Rice,0.75,62.8,0.75
378,3,77,Soy,0.63,74.5,0.56
379,3,78,Soy,0.96,61.9,0.66
380,3,79,Barley,0.75,60.1,0.61
381,3,80,Soy,0.88,66.1,0.37
382,3,81,Rice,0.52,68.9,0.56
383,3,82,Soy,0.69,80.6,0.8
384,3,83,Wheat,0.58,71.5,0.32
385,3,84,Wheat,0.7,74.7,0.32
386,3,85,Soy,0.9,78.0,0.86
387,3,86,Corn,0.96,61.0,0.79
388,3,87,Soy,0.96,70.4,0.3
389,3,88,Barley,0.56,72.8,0.86
390,3,89,Rice,0.65,67.9,0.48
391,3,90,Rice,0.83,71.3,0.57
392,3,91,Soy,0.6,74.8,0.44
393,3,92,Corn,0.53,77.7,0.41
394,3,93,Rice,0.98,68.7,0.37
395,3,94,Corn,0.66,80.9,0.72
396,3,95,Rice,0.71,85.8,0.31
397,3,96,Wheat,0.64,64.0,0.53
398,3,97,Barley,0.66,68.7,0.57
399,3,98,Rice,0.98,70.4,0.48
400,3,99,Soy,0.6,63.2,0.45
401,4,0,Wheat,0.75,78.3,0.67
402,4,1,Corn,0.82,66.3,0.8
403,4,2,Barley,0.61,87.2,0.6
404,4,3,Corn,0.86,64.1,0.73
405,4,4,Corn,0.84,81.8,0.74
406,4,5,Rice,0.98,79.7,0.84
407,4,6,Wheat,0.73,74.1,0.74
408,4,7,Barley,0.69,75.5,0.46
409,4,8,Wheat,0.68,64.8,0.41
410,4,9,Wheat,0.68,60.9,0.84
411,4,10,Rice,0.52,88.3,0.76
412,4,11,Corn,0.62,61.1,0.68
413,4,12,Wheat,0.56,77.3,0.87
414,4,13,Corn,0.94,84.4,0.7
415,4,14,Wheat,0.53,60.2,0.68
416,4,15,Barley,0.68,71.5,0.82
417,4,16,Soy,0.61,69.1,0.77
418,4,17,Soy,0.82,66.3,0.48
419,4,18,Soy,0.66,65.0,0.6
420,4,19,Rice,0.51,71.3,0.69
421,4,20,Rice,0.95,64.3,0.44
422,4,21,Corn,0.82,65.9,0.68
423,4,22,Rice,0.5,76.4,0.74
424,4,23,Soy,0.84,67.2,0.46
425,4,24,Rice,0.61,62.3,0.46
426,4,25,Soy,0.98,85.9,0.9
427,4,26,Wheat,0.72,73.0,0.52
428,4,27,Soy,0.61,84.9,0.32
429,4,28,Soy,0.52,61.6,0.4
430,4,29,Barley,0.53,79.1,0.75
431,4,30,Barley,0.53,84.6,0.7
432,4,31,Barley,0.52,80.9,0.8
433,4,32,Barley,0.77,85.3,0.69
434,4,33,Soy,0.92,63.4,0.66
435,4,34,Corn,0.67,65.1,0.73
436,4,35,Barley,0.67,64.8,0.84
437,4,36,Rice,0.55,79.0,0.73
438,4,37,Rice,0.5,89.9,0.36
439,4,38,Rice,0.98,72.5,0.78
440,4,39,Soy,0.73,87.4,0.89
441,4,40,Wheat,0.87,86.8,0.3
442,4,41,Wheat,0.93,84.4,0.6
443,4,42,Barley,0.56,74.4,0.32
444,4,43,Rice,0.63,69.5,0.87
445,4,44,Barley,0.75,61.7,0.88
446,4,45,Soy,0.65,74.4,0.68
447,4,46,Rice,0.53,86.2,0.6
448,4,47,Barley,0.95,74.4,0.32
449,4,48,Corn,0.62,60.0,0.88
450,4,49,Soy,0.54,83.9,0.88
451,4,50,Soy,0.71,63.9,0.75
452,4,51,Soy,0.9,64.9,0.32
453,4,52,Corn,0.58,67.0,0.78
454,4,53,Wheat,0.72,65.8,0.64
455,4,54,Wheat,0.59,81.5,0.88
456,4,55,Corn,0.91,88.2,0.71
457,4,56,Wheat,0.76,63.5,0.87
458,4,57,Corn,0.79,71.7,0.36
459,4,58,Barley,0.87,78.0,0.75
460,4,59,Corn,0.97,74.2,0.83
461,4,60,Wheat,0.55,70.5,0.68
462,4,61,Corn,0.92,66.7,0.62
463,4,62,Corn,0.74,76.6,0.77
464,4,63,Rice,0.82,75.2,0.81
465,4,64,Corn,0.93,89.7,0.67
466,4,65,Wheat,0.66,73.9,0.74
467,4,66,Soy,0.93,86.5,0.54
468,4,67,Barley,0.82,88.3,0.51
469,4,68,Corn,0.64,69.9,0.42
470,4,69,Wheat,0.96,69.0,0.68
471,4,70,Wheat,0.53,88.3,0.79
472,4,71,Rice,0.8,77.3,0.7
473,4,72,Wheat,0.51,65.8,0.54
474,4,73,Soy,0.54,67.7,0.89
475,4,74,Wheat,0.55,60.6,0.3
476,4,75,Soy,0.95,69.7,0.49
477,4,76,Barley,0.78,78.6,0.88
478,4,77,Corn,0.63,69.4,0.53
479,4,78,Barley,0.7,66.9,0.67
480,4,79,Corn,0.92,61.8,0.44
481,4,80,Barley,0.79,85.4,0.71
482,4,81,Soy,0.52,79.4,0.69
483,4,82,Corn,0.94,87.3,0.67
484,4,83,Corn,0.77,60.7,0.53
485,4,84,Barley,0.6,87.7,0.87
486,4,85,Rice,0.86,75.7,0.69
487,4,86,Rice,0.77,64.1,0.36
488,4,87,Barley,0.59,67.6,0.74
489,4,88,Wheat,0.83,64.3,0.49
490,4,89,Barley,0.82,66.8,0.5
491,4,90,Soy,0.98,67.9,0.44
492,4,91,Soy,0.63,77.5,0.69
493,4,92,Wheat,0.77,67.8,0.87
494,4,93,Rice,0.66,74.7,0.79
495,4,94,Soy,0.65,79.3,0.85
496,4,95,Soy,0.75,83.4,0.86
497,4,96,Corn,0.86,86.5,0.3
498,4,97,Corn,0.8,64.8,0.67
499,4,98,Wheat,0.56,79.3,0.86
500,4,99,Soy,0.96,63.4,0.63
501,5,0,Barley,0.85,67.0,0.71
502,5,1,Rice,0.79,77.1,0.56
503,5,2,Wheat,0.57,88.4,0.81
504,5,3,Barley,0.57,78.3,0.4
505,5,4,Barley,0.65,86.3,0.36
506,5,5,Wheat,0.96,80.2,0.52
507,5,6,Wheat,0.57,82.5,0.35
508,5,7,Soy,0.83,66.6,0.38
509,5,8,Rice,0.82,74.6,0.39
510,5,9,Soy,0.55,84.1,0.3
511,5,10,Barley,0.85,79.8,0.79
512,5,11,Soy,0.74,60.9,0.84
513,5,12,Soy,0.75,80.0,0.32
514,5,13,Rice,0.5,65.8,0.44
515,5,14,Corn,0.95,87.9,0.5
516,5,15,Rice,0.81,87.9,0.78
517,5,16,Soy,0.8,85.3,0.44
518,5,17,Corn,0.69,65.9,0.54
519,5,18,Barley,0.85,63.4,0.88
520,5,19,Rice,0.92,86.7,0.8
521,5,20,Wheat,0.75,74.5,0.36
522,5,21,Barley,0.77,86.3,0.49
523,5,22,Corn,0.6,85.7,0.65
524,5,23,Barley,0.68,85.8,0.71
525,5,24,Wheat,0.73,66.9,0.69
526,5,25,Wheat,0.83,79.8,0.35
527,5,26,Rice,0.97,88.2,0.9
528,5,27,Rice,0.57,70.1,0.41
529,5,28,Soy,0.76,79.8,0.41
530,5,29,Soy,0.81,71.0,0.45
531,5,30,Barley,0.91,67.9,0.55
532,5,31,Wheat,0.92,84.4,0.49
533,5,32,Barley,0.83,65.7,0.61
534,5,33,Corn,0.6,63.3,0.85
535,5,34,Corn,0.89,68.2,0.32
536,5,35,Soy,0.79,73.4,0.53
537,5,36,Barley,0.98,84.0,0.89
538,5,37,Corn,0.98,67.0,0.45
539,5,38,Soy,0.78,87.2,0.79
540,5,39,Barley,0.97,76.5,0.54
541,5,40,Wheat,0.51,81.4,0.85
542,5,41,Corn,0.96,67.5,0.68
543,5,42,Corn,0.98,85.3,0.84
544,5,43,Wheat,0.99,60.9,0.68
545,5,44,Soy,0.89,66.3,0.83
546,5,45,Corn,0.59,83.4,0.84
547,5,46,Wheat,0.99,61.9,0.48
548,5,47,Soy,0.71,77.8,0.8
549,5,48,Rice,0.74,81.7,0.8
550,5,49,Soy,0.51,77.2,0.72
551,5,50,Corn,0.67,63.0,0.44
552,5,51,Soy,0.63,78.0,0.36
553,5,52,Corn,0.72,78.3,0.67
554,5,53,Soy,0.63,74.6,0.69
555,5,54,Rice,0.72,70.9,0.88
556,5,55,Soy,0.57,67.3,0.54
557,5,56,Rice,0.98,62.3,0.73
558,5,57,Corn,0.83,61.1,0.83
559,5,58,Soy,0.99,83.7,0.78
560,5,59,Wheat,0.5,75.8,0.54
561,5,60,Rice,0.92,64.4,0.44
562,5,61,Barley,0.54,62.8,0.32
563,5,62,Rice,0.89,62.7,0.75
564,5,63,Soy,0.96,64.3,0.53
565,5,64,Rice,0.57,60.9,0.6
566,5,65,Soy,0.98,83.0,0.89
567,5,66,Corn,0.72,71.0,0.3
568,5,67,Corn,0.67,68.6,0.47
569,5,68,Wheat,0.9,73.8,0.89
570,5,69,Barley,0.93,69.3,0.59
571,5,70,Corn,0.92,80.9,0.86
572,5,71,Wheat,0.81,68.9,0.81
573,5,72,Barley,0.65,78.6,0.73
574,5,73,Wheat,0.64,71.2,0.73
575,5,74,Corn,0.61,72.3,0.3
576,5,75,Barley,0.57,83.5,0.48
577,5,76,Corn,0.7,75.6,0.56
578,5,77,Soy,0.93,72.2,0.61
579,5,78,Barley,1.0,69.8,0.57
580,5,79,Wheat,0.85,79.7,0.56
581,5,80,Soy,0.58,78.8,0.82
582,5,81,Wheat,0.84,62.5,0.88
583,5,82,Corn,0.64,80.2,0.81
584,5,83,Corn,0.86,73.6,0.71
585,5,84,Soy,0.62,89.2,0.74
586,5,85,Soy,0.58,74.1,0.74
587,5,86,Barley,0.82,88.3,0.78
588,5,87,Wheat,0.84,84.1,0.33
589,5,88,Rice,0.59,89.0,0.34
590,5,89,Corn,0.76,66.2,0.36
591,5,90,Rice,0.94,70.0,0.85
592,5,91,Rice,0.84,77.7,0.67
593,5,92,Soy,0.84,62.9,0.57
594,5,93,Wheat,0.86,81.3,0.76
595,5,94,Rice,0.68,68.1,0.43
596,5,95,Wheat,0.6,64.5,0.78
597,5,96,Soy,0.87,61.8,0.51
598,5,97,Rice,0.91,72.5,0.68
599,5,98,Rice,0.95,63.8,0.89
600,5,99,Corn,0.9,75.0,0.34
601,6,0,Rice,0.67,72.3,0.87
602,6,1,Barley,0.73,86.1,0.76
603,6,2,Soy,0.89,62.2,0.57
604,6,3,Barley,0.77,85.8,0.36
605,6,4,Rice,0.78,81.4,0.37
606,6,5,Rice,0.97,79.4,0.65
607,6,6,Barley,0.98,89.3,0.62
608,6,7,Corn,0.88,61.5,0.62
609,6,8,Corn,0.9,74.7,0.47
610,6,9,Barley,0.63,81.9,0.36
611,6,10,Barley,0.8,76.0,0.78
612,6,11,Soy,0.74,69.6,0.43
613,6,12,Corn,0.52,60.8,0.69
614,6,13,Wheat,0.94,79.6,0.52
615,6,14,Rice,0.65,86.0,0.68
616,6,15,Rice,0.97,81.6,0.76
617,6,16,Barley,0.82,61.5,0.42
618,6,17,Wheat,0.91,81.0,0.31
619,6,18,Corn,0.73,82.1,0.47
620,6,19,Corn,0.59,79.9,0.88
621,6,20,Corn,0.94,77.7,0.41
622,6,21,Barley,0.89,81.0,0.58
623,6,22,Barley,0.88,77.3,0.52
624,6,23,Rice,0.61,74.4,0.49
625,6,24,Rice,0.76,76.1,0.74
626,6,25,Corn,0.66,62.2,0.73
627,6,26,Rice,0.81,75.8,0.77
